iso_code,country,year,total_fossil_energy,total_renewable_energy,fossil_energy_percentage,renewable_energy_percentage
ESP,Spain,2016,160746522.3165003,101089169.1845004,0.6139213542470239,0.3860786457529761
ESP,Spain,2017,177694891.6319997,84610866.487,0.6774342008587749,0.32256579914122496
ESP,Spain,2018,160637496.8249998,100344405.2130003,0.6155120166210234,0.38448798337897666
ESP,Spain,2019,162915537.7390006,97913298.8200003,0.6246070790648495,0.3753929209351504
ESP,Spain,2020,13275074.535,9468207.515,0.5836921208564091,0.4163078791435909
